id,price,number_of_reviews,availability_365,room_type,neighbourhood,neighbourhood_group,accommodates,bedrooms,bathrooms,host_is_superhost,reviews_per_month,last_review,first_review,calculated_host_listings_count,latitude,longitude,minimum_nights,host_name,host_since,number_of_reviews_ltm,instant_bookable,host_response_rate,host_acceptance_rate,host_response_time
41603128,65.0,33,354,Private room,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Sintra,2,1.0,1.0,False,0.59,2024-08-25,2020-02-02,2,38.79605,-9.39255,1,Casa,2019-07-25,6,False,1.0,0.96,within an hour
41603922,335.0,5,93,Entire home/apt,Santo Antnio,Lisboa,6,3.0,2.0,False,0.19,2024-08-17,2022-07-30,1,38.71727,-9.14363,5,Ltml,2012-06-26,2,False,1.0,0.9,within an hour
41614547,70.0,22,128,Entire home/apt,Lourinh e Atalaia,Lourinh,7,3.0,2.5,False,0.46,2024-09-01,2020-10-03,1,39.262375,-9.285017,5,Jacqueline,2019-10-08,6,False,1.0,1.0,within an hour
41617686,100.0,47,98,Entire home/apt,Estrela,Lisboa,2,1.0,1.0,False,0.83,2024-03-26,2020-01-28,1,38.707958,-9.154444,3,Laura,2019-11-04,5,True,1.0,1.0,within an hour
41618002,43.0,433,296,Private room,Moscavide e Portela,Loures,2,1.0,1.0,True,7.72,2024-08-14,2020-02-07,3,38.77521,-9.10015,1,Evanice,2014-12-21,94,False,1.0,1.0,within an hour
41680724,93.0,6,0,Entire home/apt,Areeiro,Lisboa,4,2.0,1.0,False,0.32,2024-02-04,2023-03-08,11,38.74198,-9.14312,1,Paulo,2014-11-24,4,False,1.0,1.0,within an hour
41686163,30.0,10,365,Shared room,Alcntara,Lisboa,1,1.0,3.0,False,0.27,2023-09-16,2021-09-01,20,38.70331,-9.1757,1,Mohammed Sayful,2019-06-16,1,False,0.55,0.59,within a day
41686202,180.0,74,234,Entire home/apt,Santa Maria Maior,Lisboa,8,4.0,2.0,False,1.55,2024-08-17,2020-10-12,21,38.71478,-9.13331,1,Sergio Raul,2017-08-09,22,True,0.93,1.0,within an hour
41686483,30.0,8,365,Shared room,Alcntara,Lisboa,1,1.0,3.0,False,0.14,2023-08-10,2020-02-04,20,38.70537,-9.17478,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41686738,30.0,1,365,Shared room,Alcntara,Lisboa,1,1.0,3.0,False,0.06,2023-05-21,2023-05-21,20,38.70529,-9.17532,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41686848,30.0,1,365,Shared room,Alcntara,Lisboa,1,1.0,3.0,False,0.05,2022-11-28,2022-11-28,20,38.70341,-9.17588,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41686982,30.0,2,365,Shared room,Alcntara,Lisboa,1,1.0,3.0,False,0.06,2023-09-03,2021-10-31,20,38.70542,-9.17747,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41687050,30.0,0,365,Shared room,Alcntara,Lisboa,1,1.0,3.0,False,0.0,0,0,20,38.70563,-9.17682,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41688355,30.0,2,365,Shared room,Alcntara,Lisboa,1,1.0,1.0,False,0.09,2023-07-03,2022-11-20,20,38.70523,-9.17531,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41688437,30.0,0,365,Shared room,Alcntara,Lisboa,1,1.0,1.0,False,0.0,0,0,20,38.70561,-9.17581,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41688511,30.0,1,365,Shared room,Alcntara,Lisboa,1,1.0,1.0,False,0.07,2023-08-09,2023-08-09,20,38.70405,-9.17538,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41688642,30.0,1,365,Shared room,Alcntara,Lisboa,1,1.0,1.0,False,0.26,2024-05-23,2024-05-23,20,38.70427,-9.17536,1,Mohammed Sayful,2019-06-16,1,False,0.55,0.59,within a day
41688712,30.0,2,365,Shared room,Alcntara,Lisboa,1,1.0,1.0,False,0.09,2022-12-04,2022-11-30,20,38.70568,-9.17692,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41688788,30.0,0,365,Shared room,Alcntara,Lisboa,1,1.0,1.0,False,0.0,0,0,20,38.70374,-9.1758,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41688892,30.0,2,365,Shared room,Alcntara,Lisboa,1,1.0,3.5,False,0.12,2023-07-01,2023-05-20,20,38.70388,-9.17554,1,Mohammed Sayful,2019-06-16,0,False,0.55,0.59,within a day
41689534,152.0,132,308,Entire home/apt,Santa Maria Maior,Lisboa,2,1.0,1.5,False,2.94,2024-08-24,2021-01-06,16,38.71045684814453,-9.138989448547363,3,Maria & Pedro,2017-09-26,47,False,1.0,1.0,within an hour
41698800,104.0,38,32,Entire home/apt,Santo Isidoro,Mafra,6,3.0,3.0,True,0.73,2024-08-25,2020-06-06,2,38.99137,-9.39805,4,Cristina,2018-12-23,4,True,1.0,1.0,within an hour
41704946,466.0,71,288,Entire home/apt,Santo Antnio,Lisboa,16,8.0,3.0,False,1.29,2024-09-08,2020-03-06,32,38.71984,-9.15244,1,Central Hill Apartments,2012-06-19,37,True,1.0,1.0,within an hour
41728251,58.0,27,348,Private room,Alcabideche,Cascais,2,1.0,1.0,True,0.77,2024-08-22,2021-10-27,1,38.72097,-9.38791,2,Lu,2020-01-21,8,False,1.0,1.0,within an hour
